Date,ret_1d,ret_5d,ret_20d,vol_20d,ma_20_dist,zscore_20d,volume_zscore_20d,ret_lag1,ret_lag2,ret_lag3,next_return,target_up
2016-02-02,-0.018022130440431106,-0.00021039756003538024,-0.05402445849669135,0.014924209473307743,-0.005444523742721086,-0.26337938642830067,-0.15088746479474946,-0.0003614820633796034,0.024377486732005904,0.005209101482186451,0.005994974904025785,1
2016-02-03,0.005994974904025785,0.016850089188245043,-0.04996012681757356,0.015021071242865896,0.0031568477140864193,0.19109466579835444,0.20203937598795552,-0.018022130440431106,-0.0003614820633796034,0.024377486732005904,0.0015681986161628636,1
2016-02-04,0.0015681986161628636,0.013167022253631533,-0.03631418517140195,0.014849868642216666,0.006635600192441249,0.5008881874989775,-1.1096092766134802,0.005994974904025785,-0.018022130440431106,-0.0003614820633796034,-0.01905048985799862,0
2016-02-05,-0.01905048985799862,-0.029785692242822903,-0.03143556652303792,0.014497159368576545,-0.010956418317009997,-0.8619764131713457,-0.24508903495260873,0.0015681986161628636,0.005994974904025785,-0.018022130440431106,-0.013460726219184704,0
2016-02-08,-0.013460726219184704,-0.042499362107205285,-0.03386843545672891,0.014592991885225726,-0.02259806508214346,-1.6617867455716993,-0.009513272386809515,-0.01905048985799862,0.0015681986161628636,0.005994974904025785,5.378455352533784e-05,1
2016-02-09,5.378455352533784e-05,-0.02487401567758374,-0.03477198716248653,0.014585679328181191,-0.02082153270367193,-1.4698291220875264,-0.14824032069245935,-0.013460726219184704,-0.01905048985799862,0.0015681986161628636,-0.0008627515439534328,0
2016-02-10,-0.0008627515439534328,-0.03152131255243884,-0.04332335000834586,0.014407577963205638,-0.01949429959218485,-1.3992390375262587,-0.8462258954734494,5.378455352533784e-05,-0.013460726219184704,-0.01905048985799862,-0.013008132146327678,0
2016-02-11,-0.013008132146327678,-0.04561607485036645,-0.03161588891843192,0.01363911514978882,-0.03071761260404604,-1.9546372814122444,0.5704115374571456,-0.0008627515439534328,5.378455352533784e-05,-0.013460726219184704,0.020617067931594235,1
2016-02-12,0.020617067931594235,-0.007022774060755577,-0.027614462939523743,0.013958363369274905,-0.009342282313783201,-0.6084449528746223,-1.1341111643332016,-0.013008132146327678,-0.0008627515439534328,5.378455352533784e-05,0.016878355681185342,1
2016-02-16,0.016878355681185342,0.023514294440853956,0.010489343020617437,0.013674127566737984,0.006851955945805788,0.4445326503322696,-1.3493437935996362,0.020617067931594235,-0.013008132146327678,-0.0008627515439534328,0.016334602422723776,1
2016-02-17,0.016334602422723776,0.040177048056402986,0.02563010090334017,0.014120024155158332,0.02199177211399661,1.3548121211486328,-0.8722784752034358,0.016878355681185342,0.020617067931594235,-0.013008132146327678,-0.0040957151370863976,0
2016-02-18,-0.0040957151370863976,0.03681128971641967,0.03468920570876333,0.013790043426968962,0.016072404103074867,0.992571934326196,-1.78056287500448,0.016334602422723776,0.016878355681185342,0.020617067931594235,-0.00046885452883704826,0
2016-02-19,-0.00046885452883704826,0.04998350016935338,0.02844248142974326,0.013768666805249113,0.014171751659258769,0.872252598649681,-1.2676703523270012,-0.0040957151370863976,0.016334602422723776,0.016878355681185342,0.014479468754324598,1
2016-02-22,0.014479468754324598,0.04366930254394363,0.022359680337681764,0.013390735770201077,0.02770016629698069,1.5896044643750977,-1.4155278453194038,-0.00046885452883704826,-0.0040957151370863976,0.016334602422723776,-0.012629482042096574,0
2016-02-23,-0.012629482042096574,0.013384043501717846,0.02494156107598222,0.013242033366836742,0.013469573205183494,0.7681654082469179,-1.1461370499847419,0.014479468754324598,-0.00046885452883704826,-0.0040957151370863976,0.004575557494022275,1
2016-02-24,0.004575557494022275,0.001659136695278507,0.015772775202815836,0.012949747401540543,0.017302633773732756,0.9623340672186177,-0.10486722224127716,-0.012629482042096574,0.014479468754324598,-0.00046885452883704826,0.012111374960794175,1
2016-02-25,0.012111374960794175,0.01795987977122615,0.0393872338001946,0.012872588246732222,0.027618824754879423,1.4568372784463777,-1.0676919321839942,0.004575557494022275,-0.012629482042096574,0.014479468754324598,-0.002301153955446833,0
